id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,327-2104,BINTANA,327-5554 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5554 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5632 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5632 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5632 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5633 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5633 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5633 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5634 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5634 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5634 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5635 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5635 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5635 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5649 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5649 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5649 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6017 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6017 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6017 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6324 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6324 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6325 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6325 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6326 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6326 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6326 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6453 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6453 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
